Placa,Marca,Modelo,Año,Color,Capacidad del motor (L),Capacidad del tanque (L),Velocidad máxima (km/h),Transmisión,Precio (USD),Estado,Capacidad de carga (toneladas),Número de ejes,Tamaño de ruedas (pulgadas)
CAM-4832,Ford,F-150,2020,Rojo,5.0,98.0,180,true,35000,1,1.5,2,20
CAM-3948,Chevrolet,Silverado 1500,2021,Azul,4.3,91.0,175,false,32000,3,1.8,2,20
CAM-1024,Dodge,Ram 1500,2019,Negro,5.7,95.0,185,true,36000,2,1.6,2,20
CAM-7591,Toyota,Tundra,2022,Plateado,5.7,100.0,190,false,38000,1,2.0,2,20
CAM-9381,Nissan,Titan,2018,Gris,5.6,98.0,170,true,34000,3,1.7,2,20
CAM-1203,Hino,FC,2020,Verde,4.0,150.0,140,false,42000,1,3.0,3,22
CAM-4839,Freightliner,Coronado,2021,Blanco,12.8,200.0,130,true,90000,2,10.0,4,22
CAM-8394,International,ProStar,2022,Rojo,10.5,180.0,120,false,85000,1,9.5,4,22
CAM-6357,Mack,Granite,2020,Negro,13.0,210.0,130,true,95000,2,12.0,4,22
CAM-7528,Peterbilt,579,2021,Azul,12.0,200.0,135,false,98000,1,11.0,4,22
CAM-3941,Volvo,VNL,2019,Gris,10.8,190.0,130,true,88000,3,10.5,4,22
CAM-2003,Hino,GT,2020,Amarillo,5.0,130.0,150,true,46000,2,5.0,3,22
CAM-8459,Ford,F-350,2021,Rojo,6.7,100.0,175,false,40000,1,3.0,2,20
CAM-4920,Cummins,ISX,2022,Verde,15.0,220.0,120,true,97000,1,10.0,4,22
CAM-9823,Dodge,Ram 2500,2018,Negro,6.4,110.0,180,false,37000,3,4.5,2,20
CAM-2451,Caterpillar,CT660,2019,Plateado,8.4,150.0,140,true,82000,2,8.0,4,22
CAM-7528,Toyota,Tundra,2020,Rojo,5.7,95.0,190,false,36000,1,1.8,2,20
CAM-9034,Cummins,L9,2021,Gris,9.0,160.0,145,true,74000,1,7.0,3,22
CAM-2304,Hino,FC,2018,Azul,5.0,150.0,140,false,50000,2,5.0,3,22
